value_ozone,value_co,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),season,AQI
0.016089385,0.585303514,0.04,0.0,143.0,10.875,55.75,71.75,46.65,3.2,77.175,55.66666667,0,15.0
0.01597541,0.922157434,0.0725,0.0,232.25,6.875,50.725,55.0,34.95,3.8,91.375,52.03333333,0,15.0
0.015884932,0.898245614,0.0975,0.0,393.75,3.775,45.675,37.25,20.225,4.25,101.325,49.53333333,0,15.0
0.022149457,0.794492754,0.065,0.0,261.0,11.3,54.35,78.5,47.7,3.35,81.025,56.36666667,0,21.0
0.015915761,0.95826087,0.0925,0.005,350.75,8.35,49.05,70.25,39.625,3.2,76.3,55.0,0,15.0
0.022108992,0.837790698,0.1175,0.0,420.0,12.075,58.125,73.0,49.375,2.95,71.075,58.7,0,20.0
0.024561254,0.75945122,0.0875,0.0025,331.0,12.075,56.1,78.5,49.4,3.775,90.9,59.56666667,0,23.0
0.027819444,0.696396396,0.125,0.0,420.5,10.425,58.1,63.5,45.625,3.3,79.4,60.36666667,1,26.0
0.020740947,0.964285714,0.1475,0.0,468.25,5.125,56.4,33.0,27.6,3.525,84.925,58.56666667,1,19.0
0.02249711,0.86749226,0.1475,0.0,493.25,3.375,55.725,23.0,18.46666667,3.05,73.55,57.03333333,1,21.0
0.021486413,0.628405797,0.1075,0.0,402.0,9.525,53.3,68.75,43.325,3.75,89.275,59.125,1,20.0
0.02180654,0.847826087,0.15,0.0,494.5,10.05,57.775,61.75,44.5,3.575,85.75,58.65,1,20.0
0.017363388,0.950728863,0.145,0.0,495.0,11.975,59.3,70.0,49.1,3.125,75.225,59.35,1,16.0
0.019272981,0.93115727,0.1325,0.0,460.25,13.325,58.3,80.5,52.1,3.375,80.9,60.125,1,18.0
0.032539726,0.432047478,0.1625,0.0,455.5,8.325,58.1,50.25,39.7,6.075,145.75,60.325,1,30.0
0.03142735,0.425903614,0.17,0.0,512.75,4.575,53.85,32.25,24.9,5.9,141.475,57.35,1,29.0
0.023288043,0.695362319,0.1475,0.0,521.5,6.35,51.1,50.0,32.725,4.425,106.425,56.375,1,22.0
0.026154472,0.602318841,0.13,0.0,474.25,7.525,48.975,63.5,37.125,4.4,105.925,55.875,1,24.0
0.022408719,0.760174419,0.1575,0.0,562.75,9.95,54.6,68.5,44.25,4.0,95.5,58.325,1,21.0
0.027255435,0.414782609,0.125,0.005,456.25,10.825,54.3,75.5,46.65,4.05,97.75,59.65,1,25.0
0.018784741,0.731686047,0.145,0.0,513.5,10.475,54.025,73.75,45.725,3.15,75.275,59.1,1,17.0
0.025233696,0.708115942,0.1125,0.0,415.5,10.775,53.65,77.0,46.575,3.75,89.6,59.55,1,23.0
0.02338587,0.499710145,0.0475,0.0025,196.5,11.425,54.975,77.75,48.05,3.15,75.975,60.025,1,22.0
0.023721311,0.60994152,0.065,0.0025,280.75,12.325,54.85,84.0,50.125,3.25,77.95,59.675,1,22.0
0.029652174,0.693043478,0.1075,0.0,389.0,12.825,56.35,82.75,51.15,3.25,78.175,60.75,1,27.0
0.036173913,0.723478261,0.1225,0.0,435.5,13.15,56.725,84.0,51.8,3.175,76.15,61.825,1,33.0
0.030747283,0.75884058,0.12,0.0,432.75,13.225,56.575,84.75,51.95,3.575,85.675,62.45,1,28.0
0.030182065,0.628405797,0.0875,0.0,349.0,12.725,55.375,85.25,50.875,3.725,88.975,62.475,1,28.0
0.030584239,0.609855072,0.0775,0.005,316.0,12.05,54.825,82.0,49.45,3.575,85.6,61.95,1,28.0
0.030674863,0.557894737,0.14,0.0025,497.0,11.375,56.025,74.5,47.95,3.75,89.925,62.3,1,28.0
0.017021798,0.64505814,0.08,0.0,318.75,11.075,53.625,78.75,47.2,3.35,80.225,60.9,1,16.0
0.022972826,0.394202899,0.0725,0.0,282.25,12.75,56.25,82.5,50.95,3.425,82.025,61.45,1,21.0
0.028214674,0.395072464,0.1,0.0,372.5,12.825,57.125,80.75,51.15,3.575,86.075,61.5,1,26.0
0.027894022,0.468115942,0.0925,0.0,348.75,12.925,57.75,79.25,51.375,3.3,79.225,62.425,1,26.0
0.022841962,0.631686047,0.125,0.0,444.5,12.9,55.975,84.5,51.3,3.225,77.45,61.85,1,21.0
0.020290761,0.824927536,0.1575,0.0025,591.75,13.75,59.575,80.25,53.05,3.425,82.4,62.65,1,19.0
0.027195592,0.717647059,0.15,0.0,504.75,14.7,59.75,84.5,54.875,3.575,85.875,64.05,1,25.0
0.026958904,0.653216374,0.1,0.0025,370.0,14.825,59.05,87.0,55.075,3.45,83.25,64.35,1,25.0
0.033728261,0.770724638,0.1725,0.0,550.25,15.175,62.9,78.5,55.75,3.325,79.575,65.6,1,31.0
0.042288043,0.712173913,0.1175,0.005,410.75,15.1,59.425,87.5,55.625,3.775,91.425,65.6,1,39.0
0.03176087,0.440869565,0.1125,0.0,414.0,11.6,56.225,75.0,48.425,3.875,92.825,63.9,1,29.0
0.033,0.390504451,0.1425,0.0,489.5,10.575,55.45,70.5,46.0,4.125,98.925,63.725,1,31.0
0.028767442,0.51863354,0.1575,0.0,537.25,9.75,54.05,68.5,43.825,4.325,103.525,62.45,1,27.0
0.028002899,0.565886288,0.185,0.0,591.0,8.625,55.35,58.0,40.55,4.3,102.925,61.7,1,26.0
0.032163043,0.529192547,0.1825,0.0,617.25,11.025,56.225,71.25,46.95,3.925,93.525,62.425,1,30.0
0.034016304,0.67826087,0.205,0.0,635.75,10.2,58.85,60.5,44.925,3.35,80.175,63.225,1,31.0
0.029777174,0.923913043,0.22,0.0,701.5,10.15,64.5,49.75,44.125,3.725,89.825,65.5,1,28.0
0.031363636,0.621766562,0.205,0.0,638.5,11.65,61.525,63.25,48.4,3.75,89.15,65.025,1,29.0
0.022013661,0.403313253,0.155,0.0,532.25,13.025,59.075,76.25,51.575,4.05,96.875,64.425,1,20.0
0.027119565,0.368695652,0.07,0.005,268.75,12.3,55.8,81.0,49.975,4.375,105.15,62.925,1,25.0
