Date,AQI_lag1,AQI_lag2,AQI_lag3,AQI_lag7,AQI_3d_avg,AQI_7d_avg,Pm2.5_lag1,Pm2.5_lag2,Pm2.5_lag3,Pm2.5_3d_avg,Pm10_lag1,Pm10_lag2,Pm10_lag3,Pm10_3d_avg,No2_lag1,No2_lag2,No2_3d_avg,So2_lag1,So2_3d_avg,Co_lag1,Co_3d_avg,wind_pm25,temp_humidity,sin_day,cos_day,day_of_week,AQI_target
1/1/2012,219,219,219,219,219,219,14.49,14.49,14.49,14.49,154.25,154.25,154.25,154.25,37.74,37.74,37.74,16.37,16.37,0.7,0.7,63.9009,1952.584,0.017213356,0.999851839,6,219
1/2/2012,219,219,219,219,212.5,212.5,14.49,14.49,14.49,27.09,154.25,154.25,154.25,166.355,37.74,37.74,38.62,16.37,15.5,0.7,1.99,138.915,2007.511111,0.034421612,0.999407401,0,206
1/3/2012,206,219,219,219,216,216,39.69,14.49,14.49,43.46666667,178.46,154.25,154.25,163.0166667,39.5,37.74,34.57,14.63,26.61,3.28,2.29,226.3734,1889.461728,0.051619667,0.998666816,1,223
1/4/2012,223,206,219,219,202,206.25,76.22,39.69,14.49,82.29666667,156.34,178.46,154.25,208.3033333,26.47,39.5,53.53333333,48.83,33.78,2.89,2.82,471.528,1771.281,0.068802427,0.997630305,2,177
1/5/2012,177,223,206,219,148.3333333,174,130.98,76.22,39.69,86.42,290.11,156.34,178.46,227.9533333,94.63,26.47,68.05666667,37.88,30.37666667,2.29,4.073333333,159.3036,1762.332,0.085964799,0.996298175,3,45
1/7/2012,45,177,223,219,145.6666667,180.8333333,52.06,130.98,76.22,115.7633333,237.41,290.11,156.34,214.34,83.07,94.63,76.46,4.42,29.48333333,7.04,5.903333333,765.405,2882.25,0.120208045,0.992748722,5,215
1/8/2012,215,45,177,219,168,189.8571429,164.25,52.06,130.98,120.79,115.5,237.41,290.11,209.5733333,51.68,83.07,63.46,46.15,28.18666667,8.38,6.406666667,847.148,1628.272,0.137278772,0.990532452,6,244
1/9/2012,244,215,45,219,285.6666667,215.4285714,146.06,164.25,52.06,111.98,275.81,115.5,237.41,164.3433333,55.63,51.68,50.32333333,33.99,28.60333333,3.8,7.003333333,106.6208,1744.451,0.154308821,0.988022666,0,398
1/10/2012,398,244,215,206,340,240,25.63,146.06,164.25,104.4933333,101.72,275.81,115.5,139.5233333,43.66,55.63,50.14,5.67,19.78,8.83,6.036666667,379.9972,2299.921,0.171293144,0.985220107,1,378
1/12/2012,378,398,244,223,349.6666667,247.1428571,141.79,25.63,146.06,85.53666667,41.04,101.72,275.81,109.6333333,51.13,43.66,50.4,19.68,21.04666667,5.48,5.796666667,458.4366,1725.34,0.2051045,0.97874008,3,273
1/13/2012,273,378,398,177,247.3333333,234.8571429,89.19,141.79,25.63,115.5066667,186.14,41.04,101.72,141.1566667,56.41,51.13,43.35333333,37.79,32.08,3.08,5.473333333,582.3216,1027.092,0.221921513,0.975064532,4,91
1/16/2012,91,273,378,45,230.6666667,275.2857143,115.54,89.19,141.79,129.9066667,196.29,186.14,41.04,190.3966667,22.52,56.41,49.21,38.77,39.34666667,7.86,4.496666667,804.7065,3412.97,0.271958158,0.962309077,0,328
